pid,majorcat,province,area,sex,age,a003,a004_10,a010,a014,a016,a018,a019,a038,a039,a043,a045,a046,a048,a392,a116,a117,a140,a141,a144,a146,a158,a159,a160,a161,a162,d007_10,d016,d020,d041,d042,d046,d048,d049,d051,d254,d106,d107,d130,d131,d134,d136,d144,d145,d146,d147,d148,f073,f074,h001,q001,q015,q016,q017,p001,year,Resign,First_Work,Admission,Graduation,Cur,Cur_Work_date,Start_Work1_date,End_Work1_date,Work_to_Cur,Start_to_End,ck,FirstWorkPeriod,LongWork,LongWork2,major_same,major_help,big_company,work_sati,company_sati,supply1,supply2,supply3,supply4,supply5,supply6,supply7,work_day,work_time,insurance1,insurance2,insurance3,insurance4,insurance5,com_area,industry,score,q001G,p001G,provinceG,major_sameG,major_helpG,majorcatG,q015G,q016G,q017G,big_companyG,work_satiG,company_satiG,supply,work_timeB,commuting_time,industryG,sati,satiG,insurance,나이,학점,성별,건강상태,결혼상태,대학지역,전공일치,본전공,재학중일자리경험,삶의만족도_개인,삶의만족도_관계,삶의만족도_소속집단,종사자수,업무만족도,교통수단,출퇴근시간,사업체지역,산업체,산업체분류,주당근로일,주당근로시간,주당근로시간_binary,직장에서의복리후생제공여부,보험가입여부,직장만족도
108038,1,4,대구,1,27.75,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,-1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,5.0,5.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3,3.8,1,5,7,7,7,1,2019,1,2,2011-03-01,2019-02-28,2019-09-01,,2019-03-01,2019-12-01,,9.0,0,9.0,0,0,4,5,-1,5,5,2,2,2,2,2,2,2,1.0,4,3,3,3,3,3,3.0,15.0,3.0,3,1,2,3,3,1,3,3,3,,3,3,0,0,,3.0,7.0,3,0,27.75,3.0,남자,건강하다,미혼,비수도권,잘맞다,문과,있다,그렇지않다,그렇지않다,그렇지않다,,그렇지않다,,,대구,공공행정/국방사회보장행정,3차산업,1.0,4,40시간이하,제공하지않는다,가입하지않음,그렇다
108043,1,4,부산,1,28.25,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,40.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3,4.18,1,4,5,6,5,1,2019,1,2,2011-03-01,2018-08-31,2019-09-01,,2018-08-01,2020-06-01,,22.0,0,22.0,1,0,1,1,7,1,2,1,1,1,1,1,1,1,5.0,40,1,2,1,1,1,14.0,3.0,3.0,3,1,2,1,1,1,3,3,3,2.0,1,1,1,0,,2.0,5.3333333333,3,1,28.25,3.0,남자,건강하다,미혼,비수도권,맞지않다,문과,있다,그렇지않다,그렇지않다,그렇지않다,1000명미만,그렇다,,,경북,제조업,2차산업,5.0,40,40시간이하,제공한다,가입했다,그렇지않다
108112,1,2,경기,1,27.583333333,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,9.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,3.0,5.0,40.0,3.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2,3.17,1,3,3,4,4,1,2019,1,2,2011-03-01,2019-02-28,2019-09-01,,2019-02-01,2019-12-01,,10.0,0,10.0,0,0,3,2,9,2,3,2,1,3,2,2,3,3,5.0,40,1,2,1,1,1,1.0,19.0,2.0930232558,2,1,1,2,1,1,1,2,2,1.0,1,2,0,0,,3.0,3.6666666667,1,1,27.583333333,2.0930232558,남자,보통이다,미혼,수도권,보통이다,문과,있다,그렇다,보통이다,보통이다,1000명이상,그렇다,,,서울,협회/단체/수리/기타개인서비스업,3차산업,5.0,40,40시간이하,제공하지않는다,가입했다,보통이다
108219,1,2,경기,2,24.916666667,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,30.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,3,3.5,1,2,4,4,4,1,2019,1,2,2014-03-01,2018-08-31,2019-09-01,,2018-09-01,2018-09-01,,0.0,0,0.0,0,0,3,3,4,3,3,1,1,1,1,1,1,1,5.0,30,1,2,1,1,1,1.0,9.0,3.0,1,1,1,2,2,1,2,2,2,2.0,2,2,1,0,,3.0,4.0,2,1,24.916666667,3.0,여자,건강하지않다,미혼,수도권,보통이다,문과,있다,보통이다,보통이다,보통이다,1000명미만,보통이다,,,서울,숙박/음식점업,3차산업,5.0,30,40시간이하,제공한다,가입했다,보통이다
108276,1,4,부산,2,25.916666667,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,16.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3,3.84,1,3,3,6,2,1,2019,1,2,2014-03-01,2019-02-28,2019-09-01,,2019-09-01,2019-12-01,,3.0,0,3.0,0,0,2,3,8,3,3,2,2,2,2,2,3,2,2.0,16,2,2,2,2,2,2.0,15.0,3.0,2,1,2,1,2,1,1,3,1,2.0,2,2,0,0,,3.0,3.6666666667,1,0,25.916666667,3.0,여자,보통이다,미혼,비수도권,맞지않다,문과,있다,그렇다,그렇지않다,그렇다,1000명미만,보통이다,,,부산,공공행정/국방사회보장행정,3차산업,2.0,16,40시간이하,제공하지않는다,가입하지않음,보통이다
108301,1,1,서울,1,24.75,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,5.0,40.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1,3.4,1,1,4,4,4,1,2019,1,2,2014-03-01,2019-02-28,2019-09-01,,2019-02-01,2019-10-01,,8.0,0,8.0,0,0,1,3,2,3,3,1,1,3,1,3,3,3,5.0,40,3,3,3,3,3,1.0,7.0,1.125,1,1,1,1,2,1,2,2,2,2.0,2,2,0,0,,3.0,4.0,2,0,24.75,1.125,남자,건강하지않다,미혼,수도권,맞지않다,문과,있다,보통이다,보통이다,보통이다,1000명미만,보통이다,,,서울,도매/소매업,3차산업,5.0,40,40시간이하,제공하지않는다,가입하지않음,보통이다
108302,1,1,서울,1,26.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,15.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1,3.2,2,5,6,6,6,1,2019,1,2,2013-03-01,2019-02-28,2019-09-01,,2019-10-01,2020-04-01,,6.0,0,6.0,0,0,3,4,1,5,5,3,3,3,1,3,3,3,3.0,15,3,3,3,3,3,1.0,9.0,1.125,3,1,1,2,3,1,3,3,3,2.0,3,3,0,0,,3.0,6.0,3,0,26.166666667,1.125,남자,건강하다,미혼,수도권,보통이다,문과,없다,그렇지않다,그렇지않다,그렇지않다,1000명미만,그렇지않다,,,서울,숙박/음식점업,3차산업,3.0,15,40시간이하,제공하지않는다,가입하지않음,그렇다
108308,1,1,서울,2,24.75,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,9.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,35.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,2,3.1,2,3,4,5,6,1,2019,1,2,2014-03-01,2019-02-28,2019-09-01,,2019-03-01,2019-09-01,,6.0,0,6.0,0,0,3,3,9,2,3,1,1,1,1,1,1,1,5.0,35,1,2,1,1,1,,7.0,2.0930232558,2,1,1,2,2,1,2,3,3,1.0,1,2,1,0,,3.0,5.0,3,1,24.75,2.0930232558,여자,보통이다,미혼,수도권,보통이다,문과,없다,보통이다,그렇지않다,그렇지않다,1000명이상,그렇다,,,,도매/소매업,3차산업,5.0,35,40시간이하,제공한다,가입했다,보통이다
108314,1,1,서울,2,25.25,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,-1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,40.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,3,3.82,1,2,4,5,5,1,2019,1,2,2014-03-01,2019-02-28,2019-09-01,,2019-05-01,2020-04-01,,11.0,0,11.0,0,0,3,1,-1,3,3,1,2,1,1,1,1,1,5.0,40,1,2,1,1,1,1.0,16.0,3.0,1,1,1,2,1,1,2,3,3,,2,2,0,0,,3.0,4.6666666667,2,1,25.25,3.0,여자,건강하지않다,미혼,수도권,보통이다,문과,있다,보통이다,그렇지않다,그렇지않다,,보통이다,,,서울,교육서비스업,3차산업,5.0,40,40시간이하,제공하지않는다,가입했다,보통이다
108461,2,1,서울,2,26.75,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,40.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,-1,,1,4,4,4,4,1,2019,1,2,2012-03-01,2019-02-28,2019-09-01,,2018-01-01,2019-03-01,,14.0,0,14.0,1,0,1,1,2,3,3,1,1,1,1,1,1,1,5.0,40,1,2,1,1,1,8.0,13.0,,3,1,1,1,1,1,2,2,2,2.0,2,2,1,0,,3.0,4.0,2,1,26.75,,여자,건강하다,미혼,수도권,맞지않다,문과,있다,보통이다,보통이다,보통이다,1000명미만,보통이다,,,경기,전문과학및기술서비스업,3차산업,5.0,40,40시간이하,제공한다,가입했다,보통이다
