,기업명,공모가(원),기관청약경쟁률,일반청약경쟁률,상장주식수,매출액(백만원),순이익(백만원),자본금(백만원),의무보유확약비율,구주매출비율,최대주주지분율,유통가능물량(비율),공모금액(백만원),첫날손익률,최대희망공모가액차(%),주간사규모,유가증권여부,상장분기,종가
44,앱클론,10000,564.87,799.09,680741,3120,-1597,3400,21.72,0,19.35,52.58,6807,160,0,1,0,3,"26,000"
45,해성티피씨,13000,1508.95,2053.27,1000000,15327,-1518,2315,16.05,0,46.65,21.6,13000,160,13.04,1,0,2,"33,800"
46,동구바이오제약,16000,727.7,836.67,2069120,87363,10923,4802,53.41,7.25,41.23,50.89,33106,160,10.34,1,0,1,"41,600"
47,티엘비,38000,1318.82,1551.19,1000000,149136,9473,2458,6.1,11,23.23,24.12,38000,43.42,0,0,0,4,"54,500"
48,신도기연,16000,1272.9,955.01,1300000,48854,3189,4030,14.51,0,59.96,37.5,20800,40,0,1,0,3,"22,400"
49,카카오페이(유가),90000,1714.47,29.6,17000000,284371,-25051,65183,70.44,0,47.83,38.91,1530000,114.44,0,1,1,4,"193,000"
50,아이진,13500,408.1,267.72,1485257,27546,-2926,4235,7.5,0,16.28,65.22,20051,-2.96,0,1,0,4,"13,100"
51,와이엠텍,28000,1696.19,2939.57,600000,17037,3866,2696,31.59,0,54.2,37.61,16800,110.71,0,1,0,3,"59,000"
52,셀리버리,25000,698.98,808.45,1140000,2774,-15008,3806,16.8,0,25.62,60.48,28500,14.8,0,0,0,4,"28,700"
53,뉴트리바이오텍,21000,93.92,2.38,2080000,45409,2388,5157,28.32,0,51.78,45.09,43680,38.1,-12.5,0,0,4,"29,000"
54,제일전기공업,17000,1196.21,1396.1,2900000,146148,14127,5555,8.86,50,60.52,26.1,49300,68.53,0,1,0,4,"28,650"
55,비피도,18000,74.62,159.97,410001,13664,2425,2045,0,0,41.78,44.44,7380,102.78,-37.28,1,0,4,"36,500"
56,테고사이언스,13500,591.09,622.14,532699,6307,1596,1780,30.5,0,55.74,41.42,7191,130,8,1,0,4,"31,050"
57,에스트래픽,10000,605.02,1128.18,2130000,88748,8209,5725,13.4,0,32.5,41.08,21300,50,0,1,0,4,"15,000"
58,카카오게임즈,24000,1478.53,1524.8,16000000,322392,33315,7320,58.59,0,53.64,31.69,384000,160,0,1,0,3,"62,400"
59,자이글,11000,18.9,610.76,4480000,101923,13488,6765,0,50,66.22,32.59,49280,17.27,-52.17,1,0,3,"12,900"
60,한국맥널티,8000,60.5,479.79,1250000,19421,5340,2487,0.2,0,35.18,23.87,10000,65.63,-30.43,1,0,4,"13,250"
61,세아메카닉스,4400,1812.83,2475.87,6650000,82695,4254,2648,6.73,33.08,44.93,28.7,29260,72.73,10,1,0,1,"7,600"
62,스코넥,13000,1724.66,1751.25,2226300,4558,-8971,6036,59.95,0,34.49,34.17,28942,88.08,8.33,0,0,1,"24,450"
63,비트나인,11000,1662.29,589.64,2071000,11576,-10226,4110,5.96,0,23.42,41.86,22781,3.64,13.4,1,0,4,"11,400"
64,선바이오,11000,31.93,186.28,616000,5459,1202,6156,4.18,0,33.1,66.75,6776,-3.64,-31.25,1,0,4,"10,600"
65,에스퓨얼셀,16500,942.85,857.78,1890000,20295,2789,2872,40.5,33.33,59.84,34.4,31185,104.85,17.86,1,0,4,"33,800"
66,하나기술,35000,1393.98,1802.1,800000,59294,4317,1822,16.83,0,35.68,38.43,28000,160,0,1,0,4,"91,000"
67,카페24,57000,672.71,731.58,900000,118080,-1272,4429,42.9,0,36.02,49.2,51300,48.6,0,1,0,1,"84,700"
68,위더스제약,15900,1033.41,1082.03,1600000,51732,8661,1550,17.36,37.85,52.99,21.39,25440,116.35,0,1,0,3,"34,400"
69,수젠텍,12000,75.21,1.48,1500000,3440,-20960,6611,3.15,0,18.35,71.41,18000,-15.42,-14.29,1,0,2,"10,150"
70,감마누,11000,608.66,1389.86,360000,29198,2732,1018,0,0,49.51,39.69,3960,70,-4.35,1,0,3,"18,700"
71,한국자산신탁(유가),10300,149.83,6.65,27297345,83392,36292,42500,6.37,0,52.9,30.53,281163,-6.8,0,0,1,3,"9,600"
72,청담글로벌,6000,24.79,42.1,6341686,70387,849,10275,16.47,8.33,39.4,24.93,38050,27.33,-37.5,1,0,2,"7,640"
73,엔젠바이오,14000,1006.96,1502.4,2444000,1478,-6865,12215,3.33,0,14.27,36.16,34216,83.21,0,1,0,4,"25,650"
74,하이브(구.빅히트)(유가),135000,1117.25,606.97,7130000,587224,72424,17811,43.85,0,45.22,24.93,962550,91.11,0,1,1,4,"258,000"
75,에코프로비엠,48000,988.49,273.78,3000000,289870,15159,9925,45.04,0,69,40.07,144000,31.67,11.89,0,0,1,"63,200"
76,까스텔바쟉,12000,32.53,3.4,2362500,84152,6356,3298,3.86,71.43,50.84,47.44,28350,60.42,-36.84,1,0,2,"19,250"
77,이노테라피,18000,154.44,463.37,500000,180,-3012,2484,2.83,0,28,48.35,9000,7.5,-28.57,0,0,1,"19,350"
78,이즈미디어,7500,129.22,13.87,1520000,39808,4167,3522,1.38,7.89,49.13,42.55,11400,24.8,-25,1,0,3,"9,360"
79,크리스에프앤씨,30000,7.89,0.53,3516000,277417,34158,11715,0,50,59.6,32.9,105480,-20,-21.47,1,0,4,"24,000"
80,라온피플,14000,330.36,2.07,2023550,21764,6250,5089,1.5,0,46.09,42.94,28330,11.07,-17.65,1,0,4,"15,550"
81,대명에너지,15000,254.74,151.58,2500000,159386,8132,1700,1.18,20,75.67,14.71,37500,-7,-16.67,1,0,2,"13,950"
82,알비더블유,21400,1719.61,3706.79,1253000,37277,3719,3965,15.98,37.51,38,26.77,26814,82.01,0,1,0,4,"38,950"
